currency,worktime,sex,isco88,geo\time	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
EUR,FT,F,ISCO7,AT	21888.0 	22371.7 	21813.0 	21208.0 	20277.0 	22088.0 	20363.0 	19724.7 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO7,CY	17244.0 	15920.9 	14672.0 	14187.7 	13405.4 	13312.9 	12557.0 	12169.1 	11771.4 	11360.9 	10978.3 	10796.4 	: 	: 
EUR,FT,F,ISCO7,DE	25300.0 	24700.0 	24160.0 	23700.0 	23300.0 	22700.0 	22100.0 	21400.0 	20800.0 	20500.0 	19864.9 	19315.6 	19460.6 	: 
EUR,FT,F,ISCO7,DK	38877.6 	38205.1 	35639.0 	35258.2 	33779.6 	33028.7 	31595.3 	30814.7 	30761.9 	29649.2 	27398.6 	27324.4 	27113.3 	: 
EUR,FT,F,ISCO7,EL	: 	: 	: 	: 	: 	12320.0 	11895.9 	11090.7 	10410.6 	9721.8 	9092.9 	8575.4 	8002.4 	7514.3 
EUR,FT,F,ISCO7,ES	: 	16356.7 	15268.9 	15154.3 	14818.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO7,FI	27751.0 	26600.0 	31115.0 	25897.0 	24271.0 	23530.0 	22890.0 	21504.8 	20832.4 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO7,IE	: 	24783.0 	: 	22382.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO7,IS	23124.5 	36859.5 	34776.7 	34986.6 	31084.2 	25029.1 	23425.4 	24092.8 	25019.0 	20623.2 	: 	: 	: 	: 
EUR,FT,F,ISCO7,MT	: 	: 	: 	: 	: 	12158.4 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO7,PL	: 	: 	: 	: 	3432.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO7,PT	8015 	7635.2 	6994.2 	6884.6 	6790.2 	6698.4 	7047.6 	6837.0 	6455.5 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO7,RO	3589.3 	3058.2 	2552.6 	2084.6 	1558.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO7,SE	26073.8 	25946.4 	24868.9 	23472.7 	23690.9 	24283.6 	23423.4 	23251.6 	24803.7 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO7,SK	: 	4710.5 	3982.5 	3607.0 	3327.2 	3125.5 	2792.7 	2518.8 	2325.4 	2108.2 	2154.5 	2146.5 	: 	: 
EUR,FT,F,ISCO7,UK	: 	26772.8 	25912.0 	: 	24710.5 	22007.5 	23596.2 	: 	: 	: 	: 	: 	: 	: 
