currency,sizeclas,worktime,sex,nace_r2,geo\time	2011 	2010 	2009 	2008 	2007 	2006 	2005 
EUR,GE10,FT,F,I,SE	22385 	22007 	17862 	19564 	: 	: 	: 
EUR,GE10,FT,F,I,SK	6186 	5956 	5804 	5434 	: 	: 	: 
EUR,GE10,FT,F,I,UK	19930 	20189 	19540 	21349 	: 	: 	: 
EUR,GE10,FT,F,J,BG	8885 	7622 	6879 	6598 	: 	: 	: 
EUR,GE10,FT,F,J,CH	: 	59491 	: 	: 	: 	: 	: 
EUR,GE10,FT,F,J,DE	45800 p	44876 	43900 	43000 	42200 	41814 p	: 
EUR,GE10,FT,F,J,DK	61030 	59925 	58412 	55491 	: 	: 	: 
EUR,GE10,FT,F,J,EL	: 	: 	29953 	24107 	24183 	22622 	: 
EUR,GE10,FT,F,J,ES	32120 	32140 	29989 	29770 	: 	: 	: 
EUR,GE10,FT,F,J,FI	45298 	43540 	42564 	41316 	: 	: 	: 
EUR,GE10,FT,F,J,FR	: 	42704 	40538 	: 	: 	: 	: 
EUR,GE10,FT,F,J,HU	14421 	14241 	14734 	16771 	: 	: 	: 
EUR,GE10,FT,F,J,IE	: 	40878 	42022 	43897 	: 	: 	: 
EUR,GE10,FT,F,J,IS	: 	31052 p	28957 p	34075 p	: 	: 	: 
EUR,GE10,FT,F,J,LV	12748 	12102 	13093 	13129 	: 	: 	: 
EUR,GE10,FT,F,J,MT	18348 	17721 	20313 	: 	: 	: 	: 
EUR,GE10,FT,F,J,NL	46403 	45283 	44148 	42686 	: 	: 	: 
EUR,GE10,FT,F,J,PT	26874 	26931 	26999 	: 	: 	: 	: 
EUR,GE10,FT,F,J,RO	11023 d	10124 e	9544 e	: 	: 	: 	: 
EUR,GE10,FT,F,J,SE	47126 	42727 	37544 	40528 	: 	: 	: 
EUR,GE10,FT,F,J,SK	15971 	15568 	14696 	13091 	: 	: 	: 
EUR,GE10,FT,F,J,UK	40705 	41223 	39391 	44965 	: 	: 	: 
EUR,GE10,FT,F,K,BG	7972 	7424 	7188 	6816 	: 	: 	: 
EUR,GE10,FT,F,K,CH	: 	62578 	: 	: 	: 	: 	: 
EUR,GE10,FT,F,K,DE	47800 p	46844 	45400 	45300 	43600 	41597 p	: 
